repo,hpa_date,min_diff_days
teamdatatonic/acdm-summerschool-kubernetes,2021-07-05 14:43:10+00:00,0.0
teamdatatonic/acdm-summerschool-kubernetes,2021-07-05 14:08:27+00:00,0.0
teamdatatonic/acdm-summerschool-kubernetes,2021-07-05 14:07:41+00:00,0.0
teamdatatonic/acdm-summerschool-kubernetes,2021-07-05 14:04:57+00:00,0.0
teamdatatonic/acdm-summerschool-kubernetes,2021-07-05 14:02:18+00:00,0.0
ignaciochemes/massive-s3-uploader,2024-01-01 18:09:58+00:00,0.0
data-platform-skn/jx-minikube-test,2021-05-11 21:48:14+00:00,0.0
christiaan78/cloudlab,2025-10-10 16:07:21+00:00,55.6971412037037
HeadyAI/Heady-Staging,2026-03-10 15:30:02+00:00,9.65292824074074
syntasso/kratix-marketplace,,
ssahaxd/ctf_stuff,,
conplementAG/azure-aks-kubernetes-workshop,2019-09-20 18:58:20+00:00,1014.5035532407408
okobiajoshua/email-service,2025-07-30 14:20:15+00:00,0.0
APapafragkakis/DevOps-Platform,2026-04-21 11:47:49+00:00,0.0
APapafragkakis/DevOps-Platform,2026-04-10 22:29:44+00:00,0.0
APapafragkakis/DevOps-Platform,2026-04-10 21:56:21+00:00,0.0
jungung/jx-repo,2023-08-07 02:36:40+00:00,0.0
desmax74/openshift-handbook,2019-02-12 11:41:09+00:00,818.4009027777778
chotung/exponent-interview,2026-01-12 20:32:29+00:00,0.0
jneaimi/n8n-tools-api,,
murulii/KubernetesDeploymentStaergywithcode,2023-01-04 04:41:03+00:00,0.0
bhasker-manikyala/Purdue_B35,2024-01-17 14:40:31+00:00,0.0
Cablab/devops,2022-07-27 05:31:56+00:00,0.0
chatgut/MicroServiceAuth,2023-05-12 19:59:16+00:00,0.0
MounaGC/helloworld,2023-08-03 08:37:10+00:00,0.0
MounaGC/helloworld,2023-08-02 20:20:41+00:00,0.0
fluxcd/flagger,2023-08-11 17:35:04+00:00,333.8866203703704
fluxcd/flagger,2020-12-07 09:24:01+00:00,1311.2276273148148
fluxcd/flagger,2019-07-26 10:19:36+00:00,1811.1890277777777
up1/workshop-devops-docker-k8s,,
up1/workshop-devops-docker-k8s,,
musudik/ywc-api,2025-06-01 22:29:30+00:00,0.0
owen2016/devops-practices,2020-10-19 14:26:19+00:00,204.3762847222222
drriguz/knative-dockerhub-mirror,2023-07-11 11:52:50+00:00,0.0
umamahesh571/grocery-app,2025-06-23 07:57:21+00:00,0.0
mateusoli98/hackathon-fiap,,
ketansomani47/Misc_code,2024-12-03 12:03:07+00:00,0.0
AlmogMaman/SnapKube,2024-11-06 23:40:11+00:00,0.0
AlmogMaman/SnapKube,2024-11-05 22:43:03+00:00,0.0
AlmogMaman/SnapKube,2024-11-05 11:59:33+00:00,0.0
AlmogMaman/SnapKube,2024-11-05 01:12:42+00:00,0.0
AlmogMaman/SnapKube,2024-11-04 14:08:31+00:00,0.0
hussenmi/autoscale-dynamic-kubernetes-app,,
hussenmi/autoscale-dynamic-kubernetes-app,,
will-ondrik/cs_term_project,2023-12-06 17:53:55+00:00,0.0
will-ondrik/cs_term_project,2023-12-06 01:41:05+00:00,0.0
sadmanHT/HopNGo-Implementation,2025-09-06 09:21:03+00:00,0.0
ayush-jsrt/code-analyzer-2,2025-09-03 04:50:51+00:00,0.0
SJFCS/cloudnative.love,2024-04-11 17:24:31+00:00,0.0
iamsamitdev/jenkins-spring-boot-kubernates,,
iamsamitdev/jenkins-spring-boot-kubernates,,
binyaminsemerci-ops/quantum_trader,2025-12-27 02:35:35+00:00,99.98439814814814
binyaminsemerci-ops/quantum_trader,2025-12-16 03:32:45+00:00,110.94469907407408
girmaat/Kubernetes-resilient-deployment-strategies,,
minh160302/service-mesh,,
jstrachan/jx-demo-kube-minio,2021-05-24 11:37:30+00:00,0.0
jstrachan/jx-demo-kube-minio,2021-05-24 11:36:00+00:00,0.0
jstrachan/jx-demo-kube-minio,2021-05-24 11:13:17+00:00,0.0
Vickouma77/luminara,2025-11-22 19:37:07+00:00,0.0
unfor19/kubernetes-quickstart,2023-07-03 16:23:35+00:00,0.0
unfor19/kubernetes-quickstart,2023-07-03 16:07:41+00:00,0.0
tachyonrajput/financial_app-aws-architecture,2025-04-05 03:26:43+00:00,0.0
suneel-kms123/hms,,
amdajhbdh/bac,2026-03-01 07:33:17+00:00,0.0
rgrandl/weaver-app,2023-07-29 00:36:20+00:00,0.0
rgrandl/weaver-app,2023-07-29 00:33:14+00:00,0.0
rgrandl/weaver-app,2023-07-29 00:25:45+00:00,0.0
rgrandl/weaver-app,2023-07-29 00:05:15+00:00,0.0
rgrandl/weaver-app,2023-07-29 00:01:02+00:00,0.0
minhhieu184/learn-k8s,2024-11-16 08:59:46+00:00,0.0
kubekanvas/templates,2026-02-18 11:51:18+00:00,0.0
Rishabh9306/praxify-CFO,2025-11-21 21:25:28+00:00,0.0
Henchway/SDE24-DevOps-Exercise1,2023-10-25 17:16:56+00:00,0.0
indalyadav56/meetspace_backend,2024-03-09 03:31:21+00:00,0.0
bolecodex/100-Awesome-AWS-Introduction-Experiments,2022-06-18 10:27:37+00:00,0.0
novvoo/rendery,,
MochamadAbdulRouf/Hands-on-Kubernetes-Labs,2025-10-25 03:02:22+00:00,0.0
devops-praveen/sync-phases,,
devops-praveen/sync-phases,,
EmanuelsGiT/University,2024-02-18 16:02:28+00:00,0.0
MrThuy/fc-kubernets,2024-02-22 02:45:17+00:00,0.0
robby1012/rby-kubernetes-implementations,,
kuehara/x-ai-studio,,
sunflower-class/customer-service,2025-08-21 02:21:22+00:00,0.0
sunflower-class/customer-service,2025-08-18 11:02:18+00:00,0.0
sunflower-class/customer-service,2025-08-18 09:08:26+00:00,0.0
sunflower-class/customer-service,2025-08-14 13:30:22+00:00,0.0
krisbalev/s6-individual-project,,
krisbalev/s6-individual-project,,
krisbalev/s6-individual-project,,
krisbalev/s6-individual-project,,
krisbalev/s6-individual-project,,
krisbalev/s6-individual-project,,
krisbalev/s6-individual-project,,
Sonal0409/26June-DevOpsBatch-Evening,2023-07-21 14:49:23+00:00,0.0
suhridgupta/K8s-Custom-Scheduler,2023-10-27 01:26:29+00:00,0.0
suhridgupta/K8s-Custom-Scheduler,2023-10-24 13:36:12+00:00,0.0
sakethbolla/EventSphere,,
leadwithnav/Kubernetes_Fundamentals,2022-01-11 12:56:24+00:00,0.0
flow-lab/diatom-pub,2023-02-23 20:51:27+00:00,0.0
flow-lab/diatom-pub,2023-02-16 17:11:17+00:00,0.0
flow-lab/diatom-pub,2023-02-16 16:53:34+00:00,0.0
flow-lab/diatom-pub,2023-02-16 16:48:52+00:00,0.0
rdmanju/kubernetes,2023-09-01 02:39:38+00:00,0.0
gorinovdan/DevOpsLabs,,
ManoelaCunha/payment-service,2026-01-24 19:33:14+00:00,0.0
molinalucas/kubernetes-alura-digitalocean,2022-08-13 21:06:05+00:00,0.0
Douglas-Marques/full-cycle-kubernetes,2021-09-12 21:40:10+00:00,0.0
marcos2soares/WORKSHOP-OPENSHIFT,,
fernando-romulo-silva/image-converter-service,2022-12-03 17:34:48+00:00,0.0
saqib-masood/ondc-backend,,
denizturkmen/Kubernetes_Solutions,2023-08-27 17:15:04+00:00,0.0
denizturkmen/Kubernetes_Solutions,2023-08-27 16:19:27+00:00,0.0
appliedinnovationcorp/nexus-v2-workspace,2025-06-27 23:07:15+00:00,0.0
mutugading/goapps-infra,2026-03-22 13:36:14+00:00,0.0
mutugading/goapps-infra,2026-01-31 07:40:13+00:00,48.080358796296295
eumel8/k8s-stresstest,2021-05-27 12:01:10+00:00,0.0
tech-challenge-grupo-6/tech-challenge,,
tech-challenge-grupo-6/tech-challenge,,
neyo55/capstone-git,2024-03-14 00:27:25+00:00,0.0
jorgechato/ocho-ninjas,2023-04-17 01:40:42+00:00,0.0
jorgechato/ocho-ninjas,2023-04-17 00:41:18+00:00,0.0
AlexRob2201/dovops,2024-04-29 20:14:13+00:00,0.0
dineshtamang14/Loki-Monitoring-Stack,2023-05-31 10:42:45+00:00,0.0
dineshtamang14/Loki-Monitoring-Stack,2023-05-31 07:30:50+00:00,0.0
jnorthrup/fiduciary,2026-01-20 19:45:06+00:00,0.0
erichnp/fiap-soft-arch-food-service,2024-03-10 17:54:45+00:00,0.0
matheus-santos-souza/k8s,2024-12-07 21:27:53+00:00,0.0
pmanlukas/node-app-k8s,2022-11-07 14:48:41+00:00,0.0
pmanlukas/node-app-k8s,2022-11-07 12:25:36+00:00,0.0
luisbianconi/PICK2024,2025-02-10 18:40:15+00:00,0.0
zyadelfeki/cctv_face_detection,2025-12-18 15:23:12+00:00,0.0
briandenicola/cncf,2023-03-28 20:30:20+00:00,23.02769675925926
BayajidAlam/node-fleet,2025-12-22 16:08:04+00:00,0.0
johnafariogun/ecommerce-platform-assignment-28,,
torneseumprogramador/kubernetes-desafio,2022-06-02 08:56:28+00:00,0.0
rajatgupta24/cluster-11,2022-11-18 22:09:28+00:00,0.0
me-when-the-uh/vk-education-SRE,2023-11-22 21:19:55+00:00,0.0
mUsman3/kubernetes-101,2023-08-18 00:41:39+00:00,0.0
Parakumar/kube-project,2024-10-12 08:20:27+00:00,0.0
Hareeshyadavn/Hareeshyadavn,2024-01-10 18:52:35+00:00,0.0
g0t4/course-rancher-gitops,2025-04-19 08:33:52+00:00,0.0
g0t4/course-rancher-gitops,2025-04-19 07:07:21+00:00,0.0
Topten1004/JwtToken-WebAPI,2023-02-10 19:40:23+00:00,0.0
theabramoff/Portfolio,2023-04-11 10:04:53+00:00,0.0
Apoorva0702/MLOps,2026-04-23 17:42:49+00:00,0.0
tis-system/charts,2023-09-02 07:01:27+00:00,0.0
titan2903/fundhub-gke-config,,
titan2903/fundhub-gke-config,,
titan2903/fundhub-gke-config,,
titan2903/fundhub-gke-config,,
titan2903/fundhub-gke-config,,
titan2903/fundhub-gke-config,,
irio-2023/worker-service,,
irio-2023/worker-service,,
irio-2023/worker-service,,
eltonsarmanho/Projeto-MEC-Machine-Learing,2022-12-08 13:51:18+00:00,0.0
adibirzu/oci-mcp-gateway,2026-03-21 08:44:15+00:00,0.0
wuanita/gcb-test,2019-11-20 17:20:31+00:00,630.1466898148149
jcotoBan/lke_prerender,,
jferjfer/E-comerce,2026-04-11 01:40:23+00:00,0.0
jferjfer/E-comerce,2026-04-03 04:12:37+00:00,0.0
marcoservio/my-recipe-book,2025-05-07 19:57:30+00:00,0.0
fatihyldrmm/CodeCamp24Presentation,2024-08-23 13:33:16+00:00,0.0
goropikari/kubernetes_practice,2025-08-24 15:30:13+00:00,0.0
robby1012/springboot4-native,2025-12-14 17:34:27+00:00,0.0
mikegcoleman/secure-cicd-maven,2022-08-16 20:44:52+00:00,0.0
unitedcoresystems/Bootcampclass-2023,2023-12-06 01:54:16+00:00,0.0
jstrachan/jx-demo-minikube2,2021-05-26 09:54:54+00:00,0.0
luisaxsz/Curso-Kubernets-Alura,,
nevzatgul/jitsi-cluster,2021-01-21 12:28:43+00:00,1300.009247685185
iKubernetes/knative-in-practise,2022-05-31 06:48:22+00:00,0.0
joktec/joktec-docker,,
arisu1000/kubernetes-book-sample,2019-12-25 12:57:00+00:00,1161.8891087962963
mapadhi/platform-shared-services1,2021-12-28 11:44:08+00:00,0.0
SarVibe/MediSync,2026-04-15 20:52:02+00:00,0.0
maxiplux/core-api-2022,2022-08-23 04:03:39+00:00,0.0
MysticWave/tmp-directory-app,2025-10-16 08:04:55+00:00,0.0
marco-matteo/UeK_210,,
red512/dig-gitops,,
red512/dig-gitops,,
red512/dig-gitops,,
red512/dig-gitops,,
red512/dig-gitops,,
reimon/estudo-de-caso-ecommerce,2024-07-03 20:49:05+00:00,0.0
reimon/estudo-de-caso-ecommerce,2024-07-03 20:45:06+00:00,0.0
hepyu/k8s-app-config,2021-02-04 12:27:02+00:00,125.59862268518519
hydenp/where-is-hair-and-makeup,,
hydenp/where-is-hair-and-makeup,,
AMINE7119/microservices-deployment-pipeline,2025-08-22 15:27:17+00:00,0.0
spynetS/TSFN14_2026_ProjectGroup_7,2026-03-08 10:57:18+00:00,0.0
spynetS/TSFN14_2026_ProjectGroup_7,2026-03-07 15:25:10+00:00,0.0
jvgalvin/Portfolio,,
sagiri2004/ticket-booking-project,,
EricMota04/dotfiles,2025-10-13 23:24:24+00:00,0.0
thinkerwolf/jx3-minikube,,
2lab-ai/2hal9,2025-06-14 06:10:35+00:00,0.0
